No,Country,City,Site name,Location,Start date,End date,Sample name,Sampling days,"Sampling volume, m3",Identified mass,HCB,a-HCH,b-HCH,g-HCH,d-HCH,"P,P'-DDT","o,p'-DDT","p,p'-DDE","o,p'-DDE","P,P'-DDD","o,p'-DDD",DBP,DDMU,Heptachlor,Aldrin,Isodrin,Heptachlor-exo-epoxide-b,Oxy-chlordane,Heptachlor epoxide-a,g-Chlordane,a-Chlordane,a-Endosulfan,b-Endosulfan ,Dieldrin,Endrin,Methoxychlor,Mirex,"Conc,",HCB,a-HCH,b-HCH,g-HCH,d-HCH,"P,P'-DDT","o,p'-DDT","p,p'-DDE","o,p'-DDE","P,P'-DDD","o,p'-DDD",DBP,DDMU,Heptachlor,Aldrin,Isodrin,Heptachlor-exo-epoxide-b,Oxy-chlordane,Heptachlor epoxide-a,g-Chlordane,a-Chlordane,a-Endosulfan,b-Endosulfan ,Dieldrin,Endrin,Methoxychlor,Mirex,
11,Bangladesh,Chittagong,"BD-C2-3-1(Chittagong Chemical Complex, Chittagong",,2018-12-16,2019-03-23,SCP-62,97,339.5,,1392.29 ,219.07 ,57.31 ,593.12 ,26.90 ,53986.91 ,38108.00 ,34216.13 ,10082.59 ,6061.27 ,4407.01 ,1405.39 ,1698.98 ,81.56 ,8.84 ,54.82 ,3.98 ,26.26 ,10.49 ,777.38 ,342.57 ,5.60 ,99.19 ,28.61 ,45.59 ,189.79 ,22.25 ,,4.06 ,0.64 ,0.16 ,1.74 ,0.08 ,158.67 ,112.12 ,100.67 ,29.69 ,17.81 ,12.96 ,3.96 ,4.97 ,0.22 ,0.02 ,0.15 ,<MDL,0.05 ,0.03 ,2.09 ,0.89 ,<MDL,0.27 ,0.07 ,0.12 ,0.55 ,0.06 ,
12,Bangladesh,Chittagong,"BD-C2-5-1(Chawsha Hill, Chittagong)",,2017-12-16,2018-03-23,SCP-63,97,339.5,,1424.03 ,332.75 ,88.54 ,1192.86 ,51.71 ,32636.35 ,15777.94 ,10977.60 ,1185.29 ,2901.89 ,1198.19 ,2829.71 ,1088.25 ,183.14 ,11.44 ,76.33 ,1.31 ,22.64 ,14.69 ,1588.81 ,822.74 ,38.69 ,68.50 ,9.38 ,37.16 ,148.24 ,47.80 ,,4.15 ,0.98 ,0.25 ,3.51 ,0.15 ,95.78 ,46.35 ,32.22 ,3.48 ,8.50 ,3.51 ,8.16 ,3.17 ,0.52 ,0.03 ,0.21 ,<MDL,0.04 ,0.04 ,4.48 ,2.30 ,<MDL,0.18 ,0.02 ,0.10 ,0.43 ,0.14 ,
13,Bangladesh,Chittagong,"BD-C2-2-1(Old ship breaking yard, chittagong)",,2017-12-16,2018-03-23,SCP-64,97,339.5,,1916.74 ,1955.91 ,339.86 ,1420.62 ,306.79 ,20569.29 ,10261.00 ,6496.71 ,844.74 ,1734.06 ,770.04 ,1360.14 ,612.01 ,114.34 ,10.59 ,75.72 ,2.91 ,24.35 ,18.52 ,1945.08 ,987.55 ,54.63 ,245.73 ,14.07 ,80.90 ,212.71 ,66.87 ,,5.60 ,5.76 ,0.99 ,4.18 ,0.90 ,60.23 ,30.10 ,19.03 ,2.48 ,5.06 ,2.25 ,3.83 ,1.76 ,0.32 ,0.03 ,0.21 ,<MDL,0.04 ,0.05 ,5.53 ,2.79 ,<MDL,0.70 ,0.03 ,0.22 ,0.62 ,0.19 ,
14,Bangladesh,Khulna,BD-C3-3-1(Khulna),,2018-02-10,2018-04-13,SCP-65,62,217,,767.23 ,259.14 ,64.14 ,729.59 ,24.14 ,183541.38 ,93038.62 ,123657.39 ,16739.97 ,29738.05 ,14146.13 ,2989.46 ,40251.45 ,706.88 ,46.93 ,59.50 ,2.24 ,26.79 ,11.35 ,2858.41 ,2167.73 ,9.86 ,59.80 ,7.06 ,100.14 ,65.25 ,59.70 ,,3.47 ,1.19 ,0.28 ,3.36 ,0.11 ,845.26 ,428.55 ,569.68 ,77.13 ,136.97 ,65.16 ,13.50 ,185.43 ,3.23 ,0.21 ,0.25 ,<MDL,0.07 ,0.05 ,12.86 ,9.80 ,<MDL,0.24 ,<MDL,0.44 ,0.28 ,0.27 ,
15,Bangladesh,Khulna,BD-C3-2-1(Khulna),,2018-02-10,2018-04-13,SCP-66,62,217,,569.06 ,231.87 ,70.59 ,695.25 ,34.97 ,176747.00 ,85291.28 ,102584.15 ,12338.63 ,23391.56 ,10830.26 ,3849.50 ,28151.62 ,97.96 ,4.53 ,28.57 ,1.31 ,14.43 ,7.74 ,968.26 ,463.58 ,36.93 ,109.77 ,35.33 ,12.96 ,45.40 ,35.08 ,,2.56 ,1.06 ,0.31 ,3.20 ,0.16 ,813.95 ,392.85 ,472.57 ,56.85 ,107.73 ,49.88 ,17.46 ,129.67 ,0.42 ,0.01 ,0.11 ,<MDL,<MDL,0.03 ,4.15 ,1.95 ,<MDL,0.47 ,0.15 ,<MDL,0.19 ,0.16 ,
16,Bangladesh,Khulna,BD-C3-1-2(Khulna),,2018-02-10,2018-04-13,SCP-67,62,217,,727.97 ,177.81 ,83.69 ,776.70 ,29.06 ,20501.85 ,7198.84 ,7485.68 ,639.11 ,1935.95 ,837.69 ,2855.81 ,1083.70 ,78.14 ,11.87 ,27.43 ,5.57 ,24.64 ,13.72 ,1094.51 ,580.92 ,45.50 ,64.06 ,10.91 ,63.08 ,71.96 ,38.43 ,,3.29 ,0.82 ,0.37 ,3.58 ,0.13 ,93.93 ,32.98 ,34.32 ,2.93 ,8.85 ,3.83 ,12.88 ,4.93 ,0.33 ,0.05 ,0.11 ,0.02 ,0.06 ,0.06 ,4.73 ,2.49 ,<MDL,0.26 ,0.03 ,0.27 ,0.31 ,0.17 ,
18,Bangladesh,Khulna,C3-4,BD-C3-4(Khulna),2018-02-10,2018-04-13,SCP-68,62,217,,873.38 ,420.40 ,55.66 ,1241.79 ,26.17 ,18880.64 ,6361.91 ,8750.02 ,909.84 ,3461.11 ,1358.28 ,2096.14 ,1841.90 ,68.02 ,33.11 ,6.72 ,4.05 ,143.87 ,2.04 ,851.47 ,419.99 ,7.38 ,19.02 ,65.21 ,39.22 ,1.56 ,29.12 ,,3.96 ,1.93 ,0.24 ,5.72 ,0.12 ,86.45 ,29.12 ,40.15 ,4.18 ,15.88 ,6.23 ,9.38 ,8.43 ,0.29 ,0.14 ,<MDL,<MDL,0.61 ,<MDL,3.61 ,1.75 ,<MDL,0.05 ,0.28 ,0.16 ,<MDL,0.13 ,
19,Bangladesh,Sylhet,C4-1,BD-C4-1(Sylhet),2018-02-15,2018-04-15,SCP-69,59,206.5,,1022.65 ,503.04 ,25.57 ,1866.06 ,7.46 ,11826.45 ,4945.74 ,5721.46 ,754.48 ,2608.18 ,1174.00 ,460.69 ,869.56 ,152.53 ,11.48 ,4.72 ,5.51 ,33.44 ,6.36 ,1204.32 ,559.00 ,12.64 ,6.47 ,82.16 ,26.79 ,9.39 ,16.93 ,,4.88 ,2.43 ,0.11 ,9.03 ,0.03 ,56.69 ,23.75 ,27.53 ,3.64 ,12.56 ,5.65 ,1.94 ,4.15 ,0.71 ,0.05 ,<MDL,0.02 ,0.11 ,0.02 ,5.51 ,2.51 ,<MDL,<MDL,0.38 ,0.11 ,0.03 ,0.08 ,
20,Bangladesh,Bogura,C6-1,BD-C6-1(MOSLA  Gobesona),2017-12-10,2018-02-15,SCP-70,67,234.5,,1330.13 ,837.00 ,62.97 ,3031.01 ,26.34 ,13022.55 ,6240.54 ,7158.43 ,880.59 ,2270.25 ,1073.71 ,751.03 ,355.77 ,111.76 ,7.35 ,9.69 ,4.24 ,99.90 ,2.33 ,882.36 ,534.82 ,0.69 ,24.91 ,31.36 ,22.81 ,5.11 ,2.81 ,,5.61 ,3.57 ,0.25 ,12.92 ,0.11 ,55.02 ,26.43 ,30.37 ,3.74 ,9.62 ,4.55 ,2.95 ,1.46 ,0.45 ,0.02 ,0.02 ,0.01 ,0.38 ,<MDL,3.48 ,2.11 ,<MDL,0.07 ,0.12 ,0.08 ,<MDL,<MDL,
21,Bangladesh,Bogura,C6-2,"BD-C6-2(Thonthonia, BRTC )",2017-12-10,2018-02-15,SCP-71,67,234.5,,1698.90 ,820.78 ,94.09 ,3589.76 ,36.06 ,17596.46 ,7685.31 ,9090.58 ,1160.09 ,2715.91 ,1188.83 ,1121.82 ,711.68 ,341.64 ,10.98 ,13.75 ,2.52 ,18.27 ,15.48 ,1285.95 ,629.32 ,11.50 ,45.92 ,28.83 ,7.25 ,3.31 ,25.46 ,,7.18 ,3.50 ,0.39 ,15.30 ,0.15 ,74.53 ,32.59 ,38.61 ,4.94 ,11.52 ,5.04 ,4.53 ,2.98 ,1.43 ,0.04 ,0.04 ,<MDL,0.03 ,0.06 ,5.20 ,2.51 ,<MDL,0.16 ,0.11 ,<MDL,<MDL,0.10 ,
