No,Country,City,Site name,Location,Start date,End date,Sample name,Sampling days,"Sampling volume, m3",Identified mass,HCB,a-HCH,b-HCH,g-HCH,d-HCH,"P,P'-DDT","o,p'-DDT","p,p'-DDE","o,p'-DDE","P,P'-DDD","o,p'-DDD",DBP,DDMU,Heptachlor,Aldrin,Isodrin,Heptachlor-exo-epoxide-b,Oxy-chlordane,Heptachlor epoxide-a,g-Chlordane,a-Chlordane,a-Endosulfan,b-Endosulfan ,Dieldrin,Endrin,Methoxychlor,Mirex,"Conc,",HCB,a-HCH,b-HCH,g-HCH,d-HCH,"P,P'-DDT","o,p'-DDT","p,p'-DDE","o,p'-DDE","P,P'-DDD","o,p'-DDD",DBP,DDMU,Heptachlor,Aldrin,Isodrin,Heptachlor-exo-epoxide-b,Oxy-chlordane,Heptachlor epoxide-a,g-Chlordane,a-Chlordane,a-Endosulfan,b-Endosulfan ,Dieldrin,Endrin,Methoxychlor,Mirex,
32,Bangladesh,Dhaka,C1-7,BD-C1-7(Akrain Bazer),2018-03-27,2018-06-13,SCP-82,78,273,,458.42 ,134.41 ,10.02 ,334.47 ,4.57 ,32659.65 ,13757.47 ,12767.31 ,1225.82 ,5078.72 ,1971.58 ,1757.63 ,2008.56 ,70.45 ,12385.35 ,26.18 ,1.52 ,31.06 ,33.40 ,1338.64 ,481.19 ,29.33 ,6.36 ,12.03 ,23.79 ,109.36 ,17.47 ,,1.63 ,0.49 ,<MDL,1.22 ,0.01 ,119.19 ,50.24 ,46.63 ,4.48 ,18.55 ,7.20 ,6.22 ,7.31 ,0.24 ,45.36 ,0.08 ,<MDL,0.07 ,0.12 ,4.66 ,1.62 ,<MDL,<MDL,0.03 ,0.07 ,0.39 ,0.06 ,
33,Bangladesh,Dhaka,C1-8,"BD-C1-8(JJK, Gazipur)",2018-03-24,2018-07-20,SCP-83,118,413,,415.22 ,151.86 ,31.83 ,376.59 ,11.75 ,69992.14 ,30775.69 ,18762.08 ,1842.39 ,8731.34 ,3267.62 ,2537.01 ,2201.77 ,63.61 ,6.46 ,41.46 ,2.70 ,12.58 ,3.90 ,778.93 ,412.01 ,19.70 ,22.71 ,5.42 ,13.40 ,59.22 ,37.96 ,,0.97 ,0.37 ,0.07 ,0.91 ,0.03 ,169.18 ,74.42 ,45.34 ,4.45 ,21.10 ,7.90 ,6.00 ,5.30 ,0.14 ,0.01 ,0.09 ,<MDL,<MDL,0.01 ,1.72 ,0.90 ,<MDL,0.04 ,<MDL,0.02 ,0.13 ,0.09 ,
34,Bangladesh,Chittagong,C2-1,BD-C2-1(Old Ship mosque),2018-03-23,2018-07-14,SCP-84,113,395.5,,852.06 ,340.36 ,62.32 ,458.08 ,41.38 ,29232.65 ,11854.81 ,9310.90 ,775.79 ,3370.31 ,1337.43 ,961.13 ,800.55 ,101.60 ,1.41 ,30.68 ,1.54 ,22.64 ,7.63 ,3961.06 ,1822.72 ,68.10 ,185.95 ,11.77 ,14.68 ,368.49 ,104.31 ,,2.12 ,0.86 ,0.15 ,1.16 ,0.10 ,73.61 ,29.87 ,23.45 ,1.95 ,8.48 ,3.37 ,2.28 ,1.99 ,0.24 ,<MDL,0.07 ,<MDL,0.03 ,0.02 ,9.84 ,4.51 ,0.14 ,0.45 ,0.02 ,0.03 ,0.92 ,0.26 ,
35,Bangladesh,Chittagong,C2-2,BD-C2-2(Old Ship Breaking Yard,2018-03-23,2018-07-14,SCP-85,113,395.5,,765.58 ,698.28 ,98.22 ,497.43 ,93.59 ,29223.17 ,11309.50 ,9183.16 ,739.20 ,3404.59 ,1288.82 ,2018.22 ,647.20 ,88.37 ,4.99 ,14.03 ,1.76 ,17.47 ,15.60 ,6586.97 ,2595.23 ,27.49 ,138.66 ,9.37 ,11.34 ,226.59 ,160.08 ,,1.90 ,1.76 ,0.24 ,1.26 ,0.24 ,73.59 ,28.49 ,23.12 ,1.86 ,8.57 ,3.24 ,4.95 ,1.60 ,0.21 ,0.01 ,0.02 ,<MDL,0.02 ,0.04 ,16.48 ,6.46 ,<MDL,0.33 ,0.01 ,<MDL,0.56 ,0.40 ,
36,Bangladesh,Chittagong,C2-3,Bd-C2-3(Chittagong Chemical),2018-03-23,2018-07-14,SCP-86,113,395.5,,987.79 ,188.23 ,84.52 ,240.70 ,28.62 ,116103.45 ,133526.70 ,69362.92 ,20539.49 ,20173.87 ,23047.19 ,1649.00 ,4057.51 ,30.81 ,1.62 ,36.24 ,2.65 ,16.23 ,7.75 ,699.65 ,330.77 ,0.37 ,32.67 ,41.02 ,5.54 ,173.70 ,30.51 ,,2.46 ,0.47 ,0.20 ,0.61 ,0.07 ,293.26 ,337.51 ,175.29 ,51.93 ,50.97 ,58.26 ,4.02 ,10.23 ,0.06 ,<MDL,0.08 ,<MDL,<MDL,0.02 ,1.60 ,0.73 ,<MDL,0.06 ,0.09 ,<MDL,0.43 ,0.07 ,
37,Bangladesh,Chittagong,C2-4,BD-C2-4(PHP)SONAICHARI,2018-03-23,2018-07-14,SCP-87,113,395.5,,355.44 ,109.24 ,30.43 ,310.88 ,10.62 ,15200.01 ,6138.92 ,6834.85 ,447.33 ,2342.43 ,978.41 ,863.24 ,612.49 ,35.15 ,14.72 ,20.87 ,4.06 ,11.08 ,3.05 ,472.40 ,265.51 ,10.58 ,12.30 ,3.49 ,20.12 ,42.28 ,26.19 ,,0.86 ,0.27 ,0.07 ,0.78 ,0.03 ,38.13 ,15.42 ,17.19 ,1.12 ,5.88 ,2.46 ,2.03 ,1.52 ,0.07 ,0.03 ,0.04 ,<MDL,<MDL,<MDL,1.02 ,0.57 ,<MDL,<MDL,<MDL,0.04 ,0.10 ,0.06 ,
38,Bangladesh,Chittagong,C2-5,BD-C2-5(Chittagopng GK)city,2018-03-23,2018-07-14,SCP-88,113,395.5,,495.21 ,152.11 ,57.91 ,509.50 ,67.16 ,36636.40 ,14490.96 ,14825.27 ,1134.47 ,4574.64 ,1951.78 ,5767.64 ,1459.72 ,55.88 ,1.69 ,64.08 ,4.13 ,23.88 ,32.77 ,879.94 ,423.17 ,44.33 ,82.53 ,20.85 ,30.71 ,297.48 ,57.39 ,,1.22 ,0.38 ,0.14 ,1.29 ,0.17 ,92.33 ,36.53 ,37.39 ,2.86 ,11.53 ,4.92 ,14.43 ,3.66 ,0.13 ,<MDL,0.15 ,<MDL,0.03 ,0.08 ,2.05 ,0.97 ,<MDL,0.19 ,0.04 ,0.07 ,0.74 ,0.14 ,
39,Bangladesh,khulna,C3-1,BD+DC-3(lobonchora),2018-04-13,2018-06-29,SCP-89,77,269.5,,459.17 ,183.40 ,43.88 ,350.62 ,17.30 ,23549.72 ,8841.06 ,9062.01 ,782.42 ,3214.57 ,1184.02 ,1640.06 ,1637.68 ,77.47 ,3988.62 ,40.23 ,2.32 ,19.76 ,3.48 ,1053.00 ,485.67 ,7.94 ,34.05 ,18.34 ,1.62 ,65.86 ,53.95 ,,1.65 ,0.68 ,0.15 ,1.30 ,0.06 ,86.94 ,32.65 ,33.49 ,2.89 ,11.87 ,4.37 ,5.86 ,6.03 ,0.27 ,14.79 ,0.13 ,<MDL,0.03 ,<MDL,3.66 ,1.65 ,<MDL,0.10 ,0.05 ,<MDL,0.23 ,0.20 ,
40,Bangladesh,khulna,C3-2,BD+DC-3(SONADANGA),2018-04-13,2018-06-29,SCP-90,77,269.5,,334.20 ,112.30 ,36.90 ,270.08 ,11.23 ,82820.54 ,27826.91 ,30895.71 ,2736.96 ,12916.98 ,4118.50 ,2289.84 ,6972.56 ,31.93 ,2.86 ,31.53 ,1.54 ,30.40 ,19.90 ,1634.21 ,700.19 ,24.72 ,55.31 ,5.11 ,9.82 ,76.58 ,21.53 ,,1.19 ,0.41 ,0.12 ,1.00 ,0.04 ,306.87 ,103.10 ,114.50 ,10.15 ,47.87 ,15.26 ,8.27 ,25.82 ,0.10 ,<MDL,0.10 ,<MDL,0.07 ,0.07 ,5.81 ,2.45 ,<MDL,0.18 ,<MDL,<MDL,0.27 ,0.08 ,
41,Bangladesh,Khulna,C3-3,BD+DC(Khulna University),2018-04-13,2018-06-29,SCP-91,77,269.5,,358.78 ,159.21 ,23.15 ,369.20 ,11.91 ,38498.85 ,13181.21 ,13141.99 ,1156.72 ,5383.56 ,1862.30 ,1227.04 ,2517.04 ,30.89 ,19.51 ,23.42 ,1.62 ,30.64 ,15.89 ,1174.38 ,575.19 ,6.61 ,118.06 ,11.63 ,18.26 ,110.41 ,27.95 ,,1.28 ,0.59 ,0.07 ,1.37 ,0.04 ,142.41 ,48.75 ,48.63 ,4.28 ,19.92 ,6.89 ,4.33 ,9.29 ,0.09 ,0.06 ,0.07 ,<MDL,0.07 ,0.05 ,4.11 ,1.98 ,<MDL,0.41 ,0.03 ,0.05 ,0.40 ,0.10 ,
42,Bangladesh,Khulna,C3-4,BD+DC(Khalishpur) khulna,2018-04-13,2018-06-29,SCP-92,77,269.5,,477.09 ,148.14 ,47.67 ,419.22 ,15.61 ,19855.02 ,7784.90 ,8290.17 ,683.15 ,2492.07 ,1059.82 ,1511.63 ,1158.27 ,41.72 ,2.52 ,17.78 ,2.04 ,32.59 ,11.19 ,833.24 ,322.62 ,21.97 ,77.28 ,10.25 ,13.10 ,53.30 ,21.53 ,,1.72 ,0.55 ,0.16 ,1.55 ,0.06 ,73.23 ,28.73 ,30.62 ,2.53 ,9.19 ,3.91 ,5.39 ,4.25 ,0.13 ,<MDL,0.05 ,<MDL,0.08 ,0.04 ,2.84 ,1.05 ,<MDL,0.26 ,0.02 ,0.03 ,0.18 ,0.08 ,
43,Bangladesh,Sylhet,C4-1,BD-C4-1(Sylhet),2018-04-15,2018-06-20,SCP-93,66,231,,473.89 ,236.18 ,24.41 ,804.41 ,52.48 ,24387.52 ,14867.15 ,9243.13 ,819.25 ,4196.96 ,2114.44 ,1235.09 ,945.94 ,51.74 ,263.26 ,7.29 ,2.52 ,22.10 ,5.95 ,1531.14 ,452.26 ,2.32 ,132.07 ,54.84 ,11.48 ,67.97 ,10.43 ,,1.99 ,1.02 ,0.09 ,3.48 ,0.22 ,105.05 ,64.18 ,39.85 ,3.54 ,18.10 ,9.13 ,5.09 ,4.04 ,0.20 ,1.13 ,0.01 ,<MDL,0.05 ,0.02 ,6.34 ,1.78 ,<MDL,0.54 ,0.22 ,<MDL,0.28 ,0.04 ,
44,Bangladesh,Bogura,C6-1,BD-C6-1(MOSLA Gobesona),2018-02-15,2018-05-08,SCP-94,82,287,,521.18 ,311.01 ,94.06 ,1013.15 ,59.50 ,21569.77 ,11078.29 ,6223.25 ,680.27 ,1783.89 ,814.01 ,2032.47 ,425.77 ,188.61 ,5647.25 ,28.59 ,1.45 ,19.49 ,5.16 ,823.04 ,464.19 ,14.03 ,56.59 ,24.61 ,27.03 ,74.12 ,22.68 ,,1.77 ,1.08 ,0.32 ,3.53 ,0.21 ,74.74 ,38.45 ,21.55 ,2.36 ,6.16 ,2.81 ,6.87 ,1.44 ,0.64 ,19.67 ,0.08 ,<MDL,0.03 ,0.01 ,2.63 ,1.48 ,<MDL,0.17 ,0.07 ,0.08 ,0.25 ,0.07 ,
45,Bangladesh,Bogura,C6-2,"BD-C6-2(Thonthonia, BRTC )",2018-02-15,2018-05-08,SCP-95,82,287,,454.06 ,285.46 ,68.57 ,980.42 ,30.00 ,44159.56 ,19173.35 ,15832.74 ,1527.49 ,3866.50 ,1684.64 ,3108.29 ,1916.52 ,126.57 ,9176.06 ,37.34 ,2.02 ,17.23 ,23.51 ,651.32 ,411.96 ,19.79 ,44.67 ,32.52 ,15.16 ,98.37 ,19.53 ,,1.53 ,0.99 ,0.23 ,3.41 ,0.10 ,153.45 ,66.66 ,55.04 ,5.31 ,13.42 ,5.85 ,10.62 ,6.63 ,0.42 ,31.97 ,0.11 ,<MDL,0.02 ,0.08 ,2.03 ,1.30 ,<MDL,0.13 ,0.10 ,0.04 ,0.33 ,0.06 ,
46,Bangladesh,Bogura,C6-3,"BD-C6-3(BWDB, Atpara,  BISIC)",2018-02-15,2018-05-08,SCP-96,82,287,,442.10 ,319.35 ,65.04 ,1142.58 ,38.32 ,20458.01 ,10478.74 ,11381.63 ,1587.72 ,2161.33 ,1196.99 ,1703.63 ,794.15 ,167.96 ,2313.51 ,3.89 ,2.12 ,15.40 ,14.17 ,944.90 ,290.67 ,3.41 ,61.81 ,12.53 ,39.37 ,81.08 ,16.53 ,,1.49 ,1.11 ,0.21 ,3.98 ,0.13 ,70.86 ,36.36 ,39.53 ,5.52 ,7.48 ,4.15 ,5.73 ,2.72 ,0.56 ,8.05 ,<MDL,<MDL,<MDL,0.04 ,3.06 ,0.87 ,<MDL,0.19 ,0.03 ,0.12 ,0.27 ,0.05 ,
47,Bangladesh,Bogura,C6-4,"BD-C6-4(Souj,  Nishindara)CHELOPARA",2018-02-15,2018-05-08,SCP-97,82,287,,623.26 ,407.20 ,63.19 ,1402.15 ,28.30 ,37875.54 ,16569.11 ,12317.82 ,1196.50 ,3600.97 ,1555.67 ,1844.30 ,1110.92 ,132.33 ,305.36 ,10.09 ,2.16 ,12.77 ,8.74 ,1343.99 ,611.12 ,11.20 ,26.18 ,19.89 ,12.12 ,56.15 ,21.66 ,,2.12 ,1.42 ,0.21 ,4.88 ,0.10 ,131.55 ,57.59 ,42.79 ,4.16 ,12.49 ,5.40 ,6.22 ,3.83 ,0.44 ,1.06 ,0.02 ,<MDL,<MDL,0.03 ,4.45 ,1.99 ,<MDL,0.07 ,0.06 ,<MDL,0.18 ,0.07 ,
48,Bangladesh,Dhaka,C1-1,BD-C1-1(Chemistry Building),2018-06-12,2018-08-30,SCP-98,79,276.5,,1313.43 ,620.48 ,130.17 ,1812.62 ,71.09 ,99452.60 ,44963.00 ,41039.44 ,4492.68 ,14832.07 ,5984.32 ,5712.95 ,7398.67 ,138.47 ,398.97 ,34.52 ,1.79 ,31.06 ,29.51 ,689.52 ,266.60 ,83.37 ,27.62 ,26.47 ,27.30 ,27.25 ,54.96 ,,4.70 ,2.24 ,0.46 ,6.55 ,0.25 ,359.25 ,162.46 ,148.29 ,16.24 ,53.59 ,21.62 ,20.45 ,26.71 ,0.48 ,1.44 ,0.11 ,<MDL,0.07 ,0.10 ,2.25 ,0.82 ,0.25 ,0.07 ,0.08 ,0.08 ,0.09 ,0.19 ,
49,Bangladesh,Dhaka,C1-2,BD-C1-2(Amin Bazar),2018-06-13,2018-08-30,SCP-99,78,273,,3464.25 ,511.94 ,134.78 ,1358.65 ,42.05 ,64042.16 ,26774.05 ,24707.06 ,2621.95 ,11587.49 ,4269.52 ,4398.97 ,4537.70 ,110.22 ,458.24 ,90.01 ,1.62 ,20.98 ,14.54 ,783.16 ,144.50 ,72.48 ,58.85 ,41.52 ,126.09 ,210.93 ,30.05 ,,12.64 ,1.87 ,0.48 ,4.97 ,0.15 ,234.15 ,97.92 ,90.36 ,9.59 ,42.39 ,15.62 ,15.89 ,16.57 ,0.38 ,1.67 ,0.31 ,<MDL,0.04 ,0.05 ,2.62 ,0.38 ,0.21 ,0.19 ,0.14 ,0.44 ,0.76 ,0.11 ,
50,Bangladesh,Dhaka,C1-3,BD-C1-3(Demra Dumping place),2018-07-03,2018-09-15,SCP-100,74,259,,3398.02 ,536.02 ,247.60 ,1280.22 ,36.42 ,207304.54 ,119885.37 ,66050.15 ,8148.92 ,32856.55 ,10387.44 ,4808.79 ,11460.44 ,123.61 ,712.97 ,82.79 ,2.08 ,17.13 ,48.99 ,1187.43 ,334.65 ,41.31 ,117.23 ,58.37 ,38.20 ,88.63 ,73.21 ,,13.06 ,2.07 ,0.94 ,4.94 ,0.14 ,799.94 ,462.71 ,254.87 ,31.45 ,126.80 ,40.08 ,18.34 ,44.20 ,0.45 ,2.74 ,0.30 ,<MDL,0.03 ,0.18 ,4.32 ,1.14 ,<MDL,0.42 ,0.21 ,0.13 ,0.33 ,0.28 ,
51,Bangladesh,Dhaka,C1-4,BD-C1-4(Medical Incineration)),2018-07-03,2018-09-15,SCP-101,74,259,,3985.75 ,569.98 ,193.71 ,1725.88 ,88.74 ,326814.98 ,197866.19 ,123222.22 ,15916.02 ,60582.41 ,18335.64 ,5218.04 ,23425.56 ,131.64 ,612.84 ,68.93 ,2.15 ,29.00 ,143.54 ,867.57 ,425.37 ,148.72 ,925.32 ,27.26 ,44.31 ,56.42 ,45.90 ,,15.33 ,2.20 ,0.73 ,6.66 ,0.34 ,1261.37 ,763.80 ,475.62 ,61.44 ,233.85 ,70.77 ,19.92 ,90.40 ,0.49 ,2.36 ,0.25 ,<MDL,0.07 ,0.55 ,3.09 ,1.49 ,0.52 ,3.54 ,0.09 ,0.15 ,0.20 ,0.17 ,
52,Bangladesh,Dhaka,C1-5,"BD-C1-5(Mohakhali, Dhaka)",2018-06-20,2018-08-30,SCP-102,71,248.5,,917.86 ,325.87 ,139.66 ,1432.43 ,59.11 ,116674.62 ,46768.94 ,44330.51 ,4629.16 ,14391.91 ,6238.62 ,7564.03 ,8533.43 ,293.88 ,70.56 ,30.07 ,1.47 ,55.23 ,56.10 ,885.33 ,282.01 ,21.56 ,152.82 ,92.98 ,10.61 ,24.66 ,30.07 ,,3.64 ,1.31 ,0.55 ,5.76 ,0.24 ,469.03 ,188.04 ,178.24 ,18.62 ,57.85 ,25.08 ,30.20 ,34.29 ,1.16 ,0.28 ,0.10 ,<MDL,0.18 ,0.22 ,3.29 ,0.97 ,<MDL,0.59 ,0.36 ,<MDL,0.08 ,0.12 ,
53,Bangladesh,Dhaka,C1-7,"BD-C1-7(Akrain Bazar, Savar)",2018-06-13,2018-08-30,SCP-103,78,273,,827.45 ,287.04 ,25.91 ,518.15 ,9.30 ,42842.23 ,18328.21 ,17952.37 ,1881.40 ,5934.55 ,2612.88 ,1573.50 ,3247.91 ,79.22 ,5122.92 ,3.12 ,1.79 ,29.53 ,22.59 ,665.27 ,260.33 ,20.89 ,49.10 ,38.02 ,5.86 ,2.37 ,25.06 ,,2.98 ,1.05 ,0.08 ,1.90 ,0.03 ,156.49 ,66.98 ,65.62 ,6.88 ,21.68 ,9.55 ,5.54 ,11.85 ,0.27 ,18.76 ,<MDL,<MDL,0.07 ,0.08 ,2.19 ,0.81 ,<MDL,0.15 ,0.13 ,<MDL,<MDL,0.09 ,
54,Bangladesh,Dhaka,C1-8,"BD-C1-8(JJK, Gazipur)",2018-07-20,2018-10-17,SCP-104,89,311.5,,804.44 ,286.75 ,15.63 ,418.32 ,4.31 ,34775.04 ,17742.79 ,12293.75 ,1339.13 ,4228.72 ,2107.16 ,1178.23 ,1364.35 ,26.92 ,12.95 ,14.17 ,2.78 ,24.92 ,20.36 ,2445.90 ,809.77 ,80.30 ,20.18 ,8.78 ,30.79 ,3.21 ,17.37 ,,2.54 ,0.92 ,0.04 ,1.34 ,0.01 ,111.25 ,56.82 ,39.35 ,4.29 ,13.53 ,6.74 ,3.59 ,4.34 ,0.07 ,0.03 ,0.03 ,<MDL,0.05 ,0.06 ,7.64 ,2.47 ,0.21 ,0.04 ,<MDL,0.08 ,<MDL,0.05 ,
55,Bangladesh,Chittagong,C2-1,BD-C2-1(Old ship Mosque),2018-07-14,2018-09-30,SCP-105,78,273,,1539.55 ,593.53 ,45.07 ,749.21 ,28.47 ,17918.74 ,9071.22 ,7799.69 ,799.73 ,2460.41 ,1296.34 ,730.01 ,699.91 ,151.93 ,22.35 ,30.34 ,13.80 ,71.70 ,15.87 ,114837.82 ,37490.15 ,6299.89 ,35.35 ,31.38 ,20.43 ,34.72 ,59.76 ,,5.59 ,2.17 ,0.15 ,2.74 ,0.10 ,65.20 ,33.07 ,28.43 ,2.92 ,8.96 ,4.73 ,2.46 ,2.52 ,0.54 ,0.07 ,0.09 ,0.05 ,0.22 ,0.05 ,420.40 ,137.18 ,23.03 ,0.10 ,0.10 ,0.06 ,0.11 ,0.21 ,
56,Bangladesh,Chittagong,C2-2,BD-C2-2(Old ship breaking yard),2018-07-14,2018-09-30,SCP-106,78,273,,1438.47 ,488.62 ,51.34 ,754.32 ,28.25 ,20682.31 ,9983.87 ,8958.70 ,861.82 ,2774.85 ,1365.35 ,1096.65 ,953.35 ,96.89 ,15.91 ,43.78 ,1.97 ,22.95 ,22.39 ,98165.03 ,30162.86 ,6135.82 ,39.02 ,53.71 ,24.27 ,32.48 ,91.70 ,,5.22 ,1.79 ,0.17 ,2.76 ,0.10 ,75.32 ,36.42 ,32.68 ,3.15 ,10.11 ,4.98 ,3.80 ,3.44 ,0.33 ,0.05 ,0.14 ,<MDL,0.05 ,0.08 ,359.33 ,110.34 ,22.42 ,0.12 ,0.18 ,0.07 ,0.11 ,0.33 ,
57,Bangladesh,Chittagong,C2-3,Bd-C2-3(Chemical complex),2018-07-14,2018-09-30,SCP-107,78,273,,1457.82 ,342.28 ,98.18 ,419.32 ,2.89 ,92745.88 ,177117.47 ,68159.77 ,20253.53 ,18367.86 ,22386.60 ,1009.65 ,5226.75 ,48.99 ,28.15 ,31.18 ,1.53 ,41.06 ,4.90 ,320.79 ,141.94 ,31.26 ,1317.68 ,20.67 ,8.36 ,14.81 ,16.24 ,,5.29 ,1.25 ,0.35 ,1.53 ,0.01 ,339.29 ,648.63 ,249.53 ,74.18 ,67.23 ,81.98 ,3.48 ,19.10 ,0.16 ,0.10 ,0.10 ,<MDL,0.11 ,0.01 ,0.93 ,0.37 ,<MDL,4.80 ,0.06 ,<MDL,0.04 ,0.05 ,
58,Bangladesh,Chittagong,C2-4,"BD-C2-4(PHP, Kumira, Shitakundo)",2018-07-14,2018-09-30,SCP-108,78,273,,848.30 ,214.41 ,23.33 ,434.15 ,8.18 ,15452.56 ,7040.99 ,7254.25 ,532.02 ,2206.98 ,1021.74 ,1320.98 ,837.22 ,36.91 ,8.49 ,28.07 ,2.23 ,25.24 ,6.44 ,604.25 ,349.83 ,24.96 ,16.38 ,25.82 ,15.61 ,6.39 ,36.59 ,,3.05 ,0.78 ,0.07 ,1.59 ,0.03 ,56.16 ,25.64 ,26.43 ,1.94 ,8.03 ,3.72 ,4.62 ,3.02 ,0.11 ,0.02 ,0.09 ,<MDL,0.05 ,0.02 ,1.97 ,1.13 ,<MDL,0.03 ,0.08 ,0.04 ,<MDL,0.13 ,
59,Bangladesh,Chittagong,C2-5,BD-C2-5(Chittagopng GK)city,2018-07-14,2018-09-30,SCP-109,78,273,,885.10 ,270.54 ,88.28 ,546.63 ,15.77 ,43143.37 ,15733.29 ,18485.29 ,1676.30 ,7043.98 ,2662.32 ,3978.99 ,4765.49 ,150.05 ,8323.05 ,20.51 ,2.10 ,18.59 ,47.51 ,1365.09 ,751.77 ,11.30 ,13.53 ,49.71 ,17.70 ,20.51 ,39.88 ,,3.19 ,0.99 ,0.31 ,2.00 ,0.06 ,157.59 ,57.48 ,67.57 ,6.13 ,25.75 ,9.73 ,14.36 ,17.41 ,0.53 ,30.48 ,0.06 ,<MDL,0.03 ,0.17 ,4.75 ,2.61 ,<MDL,<MDL,0.17 ,0.05 ,0.06 ,0.14 ,
60,Bangladesh,Khulna,C3-1,BD-C3-1(Khulna),2018-06-29,2018-09-10,SCP-110,73,255.5,,407.63 ,298.08 ,20.76 ,615.89 ,10.68 ,49573.12 ,18231.94 ,19581.12 ,2021.49 ,5805.14 ,2448.82 ,2483.09 ,4700.75 ,44.96 ,9476.66 ,3.39 ,4.95 ,28.35 ,15.01 ,305.75 ,119.22 ,16.38 ,31.61 ,16.02 ,7.13 ,8.54 ,28.37 ,,1.54 ,1.16 ,0.07 ,2.41 ,0.04 ,193.55 ,71.19 ,76.49 ,7.90 ,22.66 ,9.56 ,9.48 ,18.35 ,0.15 ,37.08 ,<MDL,0.01 ,0.07 ,0.05 ,0.93 ,0.31 ,<MDL,0.09 ,0.05 ,<MDL,0.02 ,0.11 ,
61,Bangladesh,Khulna,C3-2,BD-C3-2(Khulna),2018-06-29,2018-09-10,SCP-111,73,255.5,,648.23 ,403.27 ,71.92 ,874.24 ,12.18 ,31517.49 ,12491.49 ,13995.64 ,1398.11 ,3184.25 ,1464.39 ,5400.89 ,3046.73 ,288.07 ,12064.64 ,41.66 ,2.30 ,24.27 ,33.37 ,197281.14 ,63830.25 ,14831.54 ,50.73 ,45.25 ,69.22 ,18.65 ,33.24 ,,2.48 ,1.57 ,0.27 ,3.42 ,0.05 ,122.89 ,48.73 ,54.63 ,5.46 ,12.40 ,5.71 ,20.90 ,11.87 ,1.10 ,47.21 ,0.15 ,<MDL,0.05 ,0.13 ,771.87 ,249.67 ,57.99 ,0.17 ,0.16 ,0.25 ,0.06 ,0.13 ,
62,Bangladesh,Khulna,C3-3,BD-C3-3(Khulna),2018-06-29,2018-09-10,SCP-112,73,255.5,,552.52 ,372.05 ,56.12 ,614.45 ,12.16 ,48456.32 ,17926.03 ,21046.90 ,2195.86 ,6288.94 ,2565.48 ,2957.93 ,5574.16 ,87.56 ,14931.29 ,37.82 ,1.90 ,21.27 ,20.19 ,732.73 ,465.96 ,31.91 ,22.24 ,14.20 ,16.74 ,13.98 ,27.85 ,,2.11 ,1.45 ,0.21 ,2.40 ,0.05 ,189.18 ,70.00 ,82.23 ,8.58 ,24.55 ,10.02 ,11.34 ,21.77 ,0.32 ,58.43 ,0.13 ,<MDL,0.04 ,0.07 ,2.60 ,1.67 ,<MDL,0.06 ,0.04 ,0.05 ,0.04 ,0.10 ,
63,Bangladesh,Khulna,C3-4,BD-C3-4(Khulna),2018-06-29,2018-09-10,SCP-113,73,255.5,,759.11 ,258.11 ,34.13 ,650.93 ,26.92 ,39853.22 ,14267.09 ,18883.47 ,1995.81 ,4961.91 ,2225.27 ,2265.11 ,4089.73 ,128.02 ,4515.07 ,44.94 ,2.91 ,11.99 ,82.79 ,14237.21 ,5813.98 ,1224.71 ,38.06 ,13.01 ,28.60 ,17.43 ,19.17 ,,2.91 ,1.01 ,0.12 ,2.54 ,0.10 ,155.51 ,55.67 ,73.76 ,7.80 ,19.36 ,8.68 ,8.63 ,15.96 ,0.48 ,17.66 ,0.16 ,<MDL,<MDL,0.32 ,55.46 ,22.60 ,4.74 ,0.12 ,0.04 ,0.09 ,0.05 ,0.07 ,
64,Bangladesh,Bogura,C6-1,"BD-C6-1-(MOSLA ,BADC,MATIDALI)",2018-05-08,2018-10-30,SCP-114,175,612.5,,842.38 ,545.93 ,24.64 ,1249.24 ,23.81 ,57863.12 ,32898.89 ,22924.78 ,2340.81 ,6537.56 ,3360.09 ,1017.60 ,1319.52 ,160.64 ,15.29 ,9.77 ,2.63 ,42.86 ,16.50 ,1280.05 ,543.01 ,16.21 ,76.44 ,8.33 ,70.43 ,5.85 ,40.62 ,,1.35 ,0.89 ,0.03 ,2.04 ,0.04 ,94.27 ,53.64 ,37.37 ,3.82 ,10.65 ,5.48 ,1.56 ,2.13 ,0.25 ,0.02 ,0.01 ,<MDL,0.05 ,0.02 ,1.98 ,0.82 ,<MDL,0.11 ,<MDL,0.11 ,<MDL,0.06 ,
65,Bangladesh,Bogura,C6-2,"BD-C6-2-(Thonthoniya, BRTC)",2018-05-08,2018-10-30,SCP-115,175,612.5,,1056.50 ,609.92 ,100.15 ,1662.61 ,50.34 ,118687.17 ,61380.31 ,51842.28 ,4768.06 ,14995.09 ,6800.15 ,1922.03 ,6573.45 ,200.70 ,19.74 ,7.89 ,9.70 ,109.98 ,75.60 ,867.00 ,253.97 ,3207.15 ,1016.45 ,35.22 ,15.32 ,13.41 ,64.27 ,,1.70 ,0.99 ,0.16 ,2.71 ,0.08 ,193.58 ,100.14 ,84.58 ,7.78 ,24.46 ,11.09 ,3.04 ,10.71 ,0.32 ,0.03 ,0.01 ,0.01 ,0.16 ,0.12 ,1.31 ,0.35 ,5.21 ,1.65 ,0.05 ,0.02 ,0.02 ,0.10 ,
