No,Country,City,Site name,Location,Start date,End date,Sample name,Sampling days,"Sampling volume, m3",Identified mass,NAP,ACY,ACE,FLU,PHE,ANT,FLA,PYR,BaA,CHR,BbF,BkF,BaP,DahA,InD,DghiP,Concentration,NAP,ACY,ACE,FLU,PHE,ANT,FLA,PYR,BaA,CHR,BbF,BkF,BaP,DahA,InD,DghiP,16PAHs,,,,,,,,,,,,,,,,,,,,
11,Bangladesh,Chittagong,"BD-C2-3-1(Chittagong Chemical Complex, Chittagong",,2018-12-16,2019-03-23,SCP-62,97,339.5,,19.78 ,3.56 ,22.14 ,27.11 ,313.88 ,4.32 ,242.64 ,195.73 ,11.57 ,24.08 ,23.49 ,2.74 ,3.13 ,3.97 ,1.25 ,2.57 ,,0.12 ,0.02 ,0.13 ,0.16 ,1.85 ,0.03 ,1.43 ,1.15 ,0.07 ,0.14 ,0.14 ,0.02 ,0.02 ,0.02 ,0.01 ,0.02 ,5.31 ,,,,,,,,,,,,,,,,,,,,
12,Bangladesh,Chittagong,"BD-C2-5-1(Chawsha Hill, Chittagong)",,2017-12-16,2018-03-23,SCP-63,97,339.5,,38.45 ,4.82 ,27.44 ,37.35 ,576.82 ,11.98 ,508.16 ,367.46 ,20.05 ,78.55 ,28.97 ,7.90 ,8.01 ,8.71 ,1.29 ,7.98 ,,0.23 ,0.03 ,0.16 ,0.22 ,3.40 ,0.07 ,2.99 ,2.16 ,0.12 ,0.46 ,0.17 ,0.05 ,0.05 ,0.05 ,0.01 ,0.05 ,10.21 ,,,,,,,,,,,,,,,,,,,,
13,Bangladesh,Chittagong,"BD-C2-2-1(Old ship breaking yard, chittagong)",,2017-12-16,2018-03-23,SCP-64,97,339.5,,34.89 ,10.09 ,21.06 ,48.07 ,881.68 ,33.35 ,1114.23 ,696.55 ,74.41 ,149.31 ,142.15 ,29.85 ,20.78 ,34.91 ,9.09 ,29.19 ,,0.21 ,0.06 ,0.12 ,0.28 ,5.19 ,0.20 ,6.56 ,4.10 ,0.44 ,0.88 ,0.84 ,0.18 ,0.12 ,0.21 ,0.05 ,0.17 ,19.61 ,,,,,,,,,,,,,,,,,,,,
14,Bangladesh,Khulna,BD-C3-3-1(Khulna),,2018-02-10,2018-04-13,SCP-65,62,217,,23.77 ,2.33 ,12.00 ,17.20 ,191.30 ,10.65 ,177.31 ,136.83 ,11.25 ,28.07 ,22.02 ,2.37 ,2.40 ,2.70 ,0.21 ,1.69 ,,0.22 ,0.02 ,0.11 ,0.16 ,1.76 ,0.10 ,1.63 ,1.26 ,0.10 ,0.26 ,0.20 ,0.02 ,0.02 ,0.02 ,0.00 ,0.02 ,5.92 ,,,,,,,,,,,,,,,,,,,,
15,Bangladesh,Khulna,BD-C3-2-1(Khulna),,2018-02-10,2018-04-13,SCP-66,62,217,,33.27 ,8.55 ,17.68 ,25.52 ,286.92 ,19.66 ,286.49 ,203.37 ,19.42 ,41.91 ,31.46 ,5.55 ,5.10 ,4.26 ,1.50 ,3.37 ,,0.31 ,0.08 ,0.16 ,0.24 ,2.64 ,0.18 ,2.64 ,1.87 ,0.18 ,0.39 ,0.29 ,0.05 ,0.05 ,0.04 ,0.01 ,0.03 ,9.16 ,,,,,,,,,,,,,,,,,,,,
16,Bangladesh,Khulna,BD-C3-1-2(Khulna),,2018-02-10,2018-04-13,SCP-67,62,217,,20.85 ,3.09 ,10.06 ,15.79 ,188.42 ,10.89 ,199.70 ,149.92 ,14.90 ,29.56 ,27.33 ,5.86 ,4.69 ,2.75 ,0.91 ,2.17 ,,0.19 ,0.03 ,0.09 ,0.15 ,1.74 ,0.10 ,1.84 ,1.38 ,0.14 ,0.27 ,0.25 ,0.05 ,0.04 ,0.03 ,0.01 ,0.02 ,6.33 ,,,,,,,,,,,,,,,,,,,,
18,Bangladesh,Khulna,C3-4,BD-C3-4(Khulna),2018-02-10,2018-04-13,SCP-68,62,217,,39.58 ,5.37 ,12.96 ,22.73 ,299.90 ,20.57 ,469.28 ,346.06 ,33.81 ,62.07 ,39.90 ,10.29 ,14.22 ,8.98 ,2.27 ,7.20 ,,0.36 ,0.05 ,0.12 ,0.21 ,2.76 ,0.19 ,4.33 ,3.19 ,0.31 ,0.57 ,0.37 ,0.09 ,0.13 ,0.08 ,0.02 ,0.07 ,12.86 ,,,,,,,,,,,,,,,,,,,,
19,Bangladesh,Sylhet,C4-1,BD-C4-1(Sylhet),2018-02-15,2018-04-15,SCP-69,59,206.5,,25.96 ,6.89 ,17.77 ,45.98 ,267.98 ,14.02 ,151.52 ,108.75 ,7.84 ,15.80 ,8.86 ,0.99 ,1.26 ,0.29 ,0.38 ,0.74 ,,0.25 ,0.07 ,0.17 ,0.45 ,2.60 ,0.14 ,1.47 ,1.05 ,0.08 ,0.15 ,0.09 ,0.01 ,0.01 ,0.00 ,0.00 ,0.01 ,6.54 ,,,,,,,,,,,,,,,,,,,,
20,Bangladesh,Bogura,C6-1,BD-C6-1(MOSLA  Gobesona),2017-12-10,2018-02-15,SCP-70,67,234.5,,41.77 ,11.12 ,58.86 ,53.67 ,672.96 ,12.70 ,3.84 ,453.88 ,22.06 ,89.69 ,70.97 ,23.65 ,15.32 ,18.97 ,3.68 ,14.92 ,,0.36 ,0.09 ,0.50 ,0.46 ,5.74 ,0.11 ,0.03 ,3.87 ,0.19 ,0.76 ,0.61 ,0.20 ,0.13 ,0.16 ,0.03 ,0.13 ,13.37 ,,,,,,,,,,,,,,,,,,,,
21,Bangladesh,Bogura,C6-2,"BD-C6-2(Thonthonia, BRTC )",2017-12-10,2018-02-15,SCP-71,67,234.5,,112.81 ,17.45 ,50.22 ,69.52 ,305.07 ,15.35 ,416.38 ,249.33 ,26.42 ,51.45 ,60.46 ,5.97 ,19.71 ,32.34 ,0.89 ,10.98 ,,0.96 ,0.15 ,0.43 ,0.59 ,2.60 ,0.13 ,3.55 ,2.13 ,0.23 ,0.44 ,0.52 ,0.05 ,0.17 ,0.28 ,0.01 ,0.09 ,12.32 ,,,,,,,,,,,,,,,,,,,,
